"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Orlando-Kissimmee-Sanford, FL","=""36740""","268,767","5,880","268,767","703,808,531","59,318","40,138,052","163,802","211,445,713","18,090","16,232","11,298","258,734","1,156,343,212","9,549","8,692,464","236,515","1,172","105,273","120,240","145,177","2,538","151,140","98,059",0,"83,178","19,547","42,274","62,781","43,000","30,776","24,744","19,047","13,051","9,373",25
"Oshkosh-Neenah, WI","=""36780""","10,212",62,"10,212","20,447,477","2,716","2,213,870","5,200","6,426,613",481,449,775,"9,854","36,273,214",299,"312,241","8,536",0,"2,830","5,472","4,171",470,"5,392","3,810",0,"1,563","1,179","1,804","2,037","1,061",904,864,838,627,615,0
"Owensboro, KY","=""36980""","10,453",122,"10,453","24,396,891","2,761","2,086,193","5,998","7,647,255",454,234,458,"10,164","43,330,305",192,"236,082","8,995",0,"3,958","4,130","5,155","1,047","5,231","4,343",0,"1,503","1,047","1,702","2,089","1,224","1,044",866,801,525,497,0
"Oxnard-Thousand Oaks-Ventura, CA","=""37100""","53,594","1,192","53,594","119,015,408","15,834","11,951,011","29,545","37,720,302","2,352","2,704","1,961","50,192","193,149,897","3,193","3,249,272","37,666",0,"12,254","16,497","35,607","1,243","26,203","22,943",0,"12,845","4,604","8,348","10,154","6,389","5,488","5,271","4,783","3,847","3,285",74
"Palm Bay-Melbourne-Titusville, FL","=""37340""","49,195",439,"49,195","115,317,821","10,636","7,728,642","26,972","34,364,816","2,926","2,413","2,417","47,302","193,201,069","1,826","1,532,863","42,487",115,"17,647","28,259","19,796",777,"24,790","19,287",0,"12,626","4,974","8,629","11,320","6,711","4,981","4,029","3,196","2,533","2,009",0
"Panama City, FL","=""37460""","20,519",233,"20,519","49,164,132","5,276","3,816,553","12,020","15,094,383","1,282",539,553,"19,946","83,130,132",507,"452,163","18,226",52,"8,587","11,429","7,939",998,"10,143","8,418",0,"4,171","1,909","3,523","4,538","2,769","2,060","1,801","1,454","1,172",905,0
"Parkersburg-Vienna, WV","=""37620""","8,663",46,"8,663","19,581,121","2,003","1,483,781","4,781","5,908,962",170,186,381,"8,440","34,147,655",151,"184,953","7,453",0,"3,549","5,008","3,180",330,"3,889","3,796",0,"1,263",928,"1,543","1,846","1,103",728,663,475,421,394,0
"Pensacola-Ferry Pass-Brent, FL","=""37860""","45,526",559,"45,526","115,067,646","11,234","8,217,776","27,769","35,879,559","2,793","1,725","1,757","44,252","190,710,480","1,177","1,126,238","40,771",0,"18,925","27,057","17,026","1,252","22,198","19,264",0,"10,245","3,780","7,758","10,308","6,381","4,669","3,935","3,321","2,572","2,108",0
"Peoria, IL","=""37900""","29,000",272,"29,000","69,951,747","7,570","5,668,833","17,268","21,561,503","1,159",845,"1,197","28,346","124,367,894",384,"575,484","25,839",0,"12,253","15,798","12,271",621,"14,020","12,121",0,"4,137","2,555","4,749","5,997","3,608","2,761","2,189","1,761","1,301","1,044",0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","=""37980""","440,185","9,189","440,185","1,030,404,323","110,536","80,378,249","256,016","316,581,239","33,154","26,812","25,438","424,295","1,794,613,972","14,585","14,277,979","371,597",116,"173,933","215,560","209,241","12,912","230,606","173,206",0,"85,138","43,302","76,651","92,752","55,113","44,156","41,476","36,344","25,793","16,712",0
"Phoenix-Mesa-Scottsdale, AZ","=""38060""","349,565","10,547","349,565","898,849,643","104,884","78,811,089","224,107","308,190,364","19,683","17,527","17,892","336,654","1,440,937,723","12,345","12,073,756","298,609",799,"139,355","165,319","175,785","7,194","192,171","135,014",0,"79,429","25,439","49,641","68,073","47,516","40,055","37,254","32,430","24,127","19,288",501
"Pine Bluff, AR","=""38220""","11,786",166,"11,786","32,536,107","2,964","2,164,492","7,519","9,382,625",590,507,254,"11,592","51,670,181",106,"182,719","10,692",0,"6,707","5,599","5,885",230,"6,121","4,932",0,"2,179",690,"1,732","2,664","1,684","1,264","1,129",857,560,300,0
"Pittsburgh, PA","=""38300""","150,102","1,083","150,102","308,445,535","36,197","28,052,612","74,972","91,100,755","5,208","6,203","10,491","144,912","562,806,313","3,819","4,366,559","126,005",0,"52,789","82,087","60,623","4,699","71,056","60,936",0,"24,391","18,146","26,897","30,080","15,164","12,628","11,845","9,795","6,980","5,712",0
"Pittsfield, MA","=""38340""","9,279",62,"9,279","18,164,002","2,184","1,657,127","4,411","5,188,922",525,279,447,"8,774","32,714,408",273,"439,991","7,244",0,"3,275","4,623","3,922",387,"3,971","3,975",0,"1,751","1,097","1,612","1,817",851,806,696,543,389,247,0
"Pocatello, ID","=""38540""","7,093",51,"7,093","16,309,074","1,779","1,418,879","4,109","5,802,084",340,417,640,"6,887","27,145,301",173,"164,053","6,116",0,"2,363","3,755","2,959",283,"3,754","2,728",0,"1,339",681,"1,111","1,346",807,652,550,514,456,470,23
"Port St. Lucie, FL","=""38940""","40,869",527,"40,869","102,225,458","9,442","6,631,810","23,903","30,752,127","2,588","2,207","1,394","39,019","170,917,741","1,718","1,597,200","34,986",76,"16,658","16,851","23,139",736,"23,364","14,298",0,"11,744","3,463","6,519","9,055","6,310","4,350","3,743","2,841","2,185","1,563",26
"Portland-South Portland, ME","=""38860""","33,022",430,"33,022","65,295,864","8,502","6,455,873","16,077","19,500,067","1,860","1,176","2,441","31,030","113,246,583","1,623","1,908,026","26,263",0,"10,692","19,064","11,997","1,375","16,277","12,948",0,"7,988","3,665","5,792","6,782","3,251","2,833","2,677","2,325","1,654","1,410",0
"Portland-Vancouver-Hillsboro, OR-WA","=""38900""","145,654","3,004","145,654","302,996,444","38,457","29,366,084","76,302","101,346,046","7,385","7,152","11,329","137,858","502,924,037","7,310","7,560,398","117,606",0,"43,308","88,275","51,725","4,936","69,574","59,498",0,"32,127","15,828","25,202","29,034","15,565","13,967","12,980","11,582","9,397","8,446",78
"Prescott, AZ","=""39140""","16,204",139,"16,204","35,514,595","4,115","3,055,797","8,552","11,591,276",521,388,592,"15,221","56,445,832",793,"755,682","12,923",0,"5,149","7,615","7,081","1,222","9,160","5,552",0,"4,174","1,646","2,682","3,277","1,943","1,518","1,412","1,169",735,693,0
"Providence-Warwick, RI-MA","=""39300""","121,514","2,174","121,514","270,849,906","31,284","23,056,409","66,179","77,929,733","6,152","5,808","5,961","116,685","475,701,535","4,446","4,330,706","99,034",0,"42,247","46,371","68,780","5,765","65,423","45,052",0,"24,550","12,893","21,386","26,069","15,093","12,323","11,050","9,155","6,343","4,352",0
"Provo-Orem, UT","=""39340""","33,764",398,"33,764","78,806,374","10,737","8,604,071","22,055","36,022,956",952,"2,855","3,492","32,749","137,831,496",934,"1,023,697","29,857",0,"8,693","18,100","14,584",932,"20,135","11,360",0,"9,223","2,540","4,404","5,562","3,555","3,197","3,138","3,094","2,961","4,339",436
"Pueblo, CO","=""39380""","15,360",199,"15,360","36,960,961","4,198","3,176,611","9,263","11,579,976",474,553,769,"14,995","61,705,904",343,"242,675","13,225",0,"6,520","7,285","7,315",715,"7,375","6,735",0,"2,293","1,624","2,548","2,984","1,872","1,618","1,413","1,207",885,718,0
"Punta Gorda, FL","=""39460""","11,884",51,"11,884","25,991,274","2,668","1,912,675","6,119","7,744,370",751,432,457,"11,234","44,022,364",623,"528,863","9,886",0,"3,441","6,681","4,924",164,"6,034","4,490",0,"3,058","1,321","2,094","2,498","1,568","1,133","1,044",866,558,467,0
"Racine, WI","=""39540""","15,543",278,"15,543","37,469,427","4,096","3,108,871","9,144","11,724,081",577,765,761,"15,179","62,798,348",300,"301,466","13,473",244,"6,201","7,887","7,171",451,"6,969","7,205",0,"2,667","1,597","2,745","3,405","1,848","1,539","1,433","1,133",859,713,0
"Raleigh, NC","=""39580""","85,999","1,783","85,999","206,988,610","22,334","16,570,528","50,865","65,410,617","6,418","5,596","4,708","82,647","338,380,203","3,243","3,278,997","74,666",222,"36,685","43,880","37,263","4,580","49,604","30,901",0,"22,232","7,305","13,811","17,913","11,180","8,959","8,273","7,650","5,424","4,293",0
"Rapid City, SD","=""39660""","11,532",96,"11,532","24,651,610","3,106","2,355,427","6,588","8,459,874",909,436,884,"11,189","45,699,732",236,"354,258","9,938",0,"4,003","6,585","4,274",536,"5,557","4,860",0,"1,827","1,504","1,960","2,024","1,223",983,"1,001",785,657,638,0
"Reading, PA","=""39740""","32,895",659,"32,895","78,447,577","8,981","6,675,340","19,874","25,194,752","2,187","1,559","1,541","31,896","142,657,866",795,"925,890","28,101",25,"15,505","12,564","19,471",506,"18,208","12,204",0,"5,631","3,226","5,407","6,229","4,078","3,437","3,073","2,550","1,949","1,371",0
"Redding, CA","=""39820""","14,324",179,"14,324","31,388,774","3,620","2,749,272","7,832","9,967,368",553,383,564,"13,581","50,307,856",620,"674,653","11,512",0,"4,736","7,282","6,408",400,"7,433","5,320",0,"2,897","1,600","2,446","2,758","1,651","1,332","1,157",962,763,714,0
"Reno, NV","=""39900""","33,050",620,"33,050","72,683,558","10,242","7,742,064","18,672","24,004,123","1,639","1,391","1,307","32,011","132,180,050",892,"902,514","27,641",0,"11,540","17,114","14,999",632,"14,229","15,145",0,"4,828","3,117","5,054","6,055","3,778","3,621","3,472","2,861","2,109","1,758",0
"Richmond, VA","=""40060""","101,747","1,638","101,747","237,178,079","26,158","19,317,993","59,316","73,505,857","7,631","5,679","4,691","98,878","403,402,512","2,522","2,622,680","90,597",275,"43,128","61,716","37,963","1,567","50,801","42,283",0,"19,850","9,062","17,041","21,470","12,703","10,351","9,813","8,306","6,162","4,109",0
"Riverside-San Bernardino-Ontario, CA","=""40140""","421,816","11,800","421,816","1,128,335,735","112,255","80,227,385","271,746","362,637,575","17,113","21,748","14,908","402,513","1,708,402,039","18,609","19,093,144","344,479",60,"149,456","133,522","277,244","9,992","261,517","136,655",0,"120,364","28,094","63,857","91,508","61,459","45,406","39,616","34,672","26,849","23,802",677
"Roanoke, VA","=""40220""","26,924",265,"26,924","60,421,935","6,831","5,036,737","15,079","18,816,517","1,306","1,042","1,072","26,093","105,610,741",664,"696,455","23,400",103,"10,752","14,264","11,773",777,"13,634","10,846",0,"4,774","2,737","4,590","5,446","3,322","2,874","2,388","2,057","1,365","1,183",0
"Rochester, MN","=""40340""","12,456",151,"12,456","27,045,939","3,586","2,766,123","6,951","9,408,580",994,526,959,"11,873","47,603,726",332,"537,188","10,164",0,"2,708","4,917","6,525",755,"7,505","3,980",0,"2,579","1,184","1,729","2,045","1,245","1,117","1,008",909,697,564,0
"Rochester, NY","=""40380""","82,913","1,343","82,913","188,273,225","21,045","15,596,260","46,836","57,560,456","4,446","3,509","5,452","80,182","321,113,102","2,237","2,337,051","71,824",0,"32,294","41,002","35,512","5,793","42,223","33,382",0,"14,591","8,586","14,885","17,002","9,769","8,299","7,519","6,219","4,371","3,387",0
"Rockford, IL","=""40420""","31,652",524,"31,652","80,575,965","8,115","5,961,120","19,489","25,175,595","1,920","1,348","1,339","30,846","134,630,255",720,"674,801","28,167",167,"12,389","15,987","14,729",797,"16,501","12,715",0,"7,580","2,793","5,186","6,928","4,333","3,379","2,887","2,350","1,688","1,445",0
"Rocky Mount, NC","=""40580""","20,162",346,"20,162","54,299,629","4,546","3,117,534","12,072","14,561,550","1,397","1,178",401,"19,810","86,588,130",255,"294,713","18,270",86,"11,762","8,359","10,963",735,"10,037","9,061",0,"3,272","1,319","3,410","4,844","2,873","2,282","1,995","1,622",988,517,0
"Rome, GA","=""40660""","10,102",162,"10,102","28,222,480","2,264","1,581,713","6,566","8,571,111",510,407,267,"9,895","43,365,845",178,"170,921","9,163",0,"5,428","4,460","5,488",111,"5,891","3,576",0,"2,696",590,"1,699","2,357","1,495","1,156",897,691,467,384,0
"Sacramento--Roseville--Arden-Arcade, CA","=""40900""","164,031","4,696","164,031","384,456,514","42,631","32,357,858","93,145","121,212,107","7,049","7,278","7,094","154,891","597,423,118","8,701","9,294,039","126,283",0,"47,183","76,359","83,099","3,736","85,769","63,275",0,"42,804","15,393","27,797","34,570","19,939","15,612","14,234","13,530","10,335","8,635",94
"Saginaw, MI","=""40980""","18,312",230,"18,312","46,834,923","3,753","2,724,604","10,906","13,632,177",491,765,803,"17,853","74,052,017",341,"323,215","16,182",71,"8,236","9,330","8,319",541,"9,370","7,489",0,"4,265","1,819","3,463","4,664","2,511","1,619","1,274",942,735,673,0
"Salem, OR","=""41420""","30,981",702,"30,981","73,904,935","9,348","7,067,802","19,228","26,260,432","1,661","1,251","1,833","30,107","124,189,475",703,"734,422","25,407",0,"11,176","19,438","10,655",713,"13,346","15,021",0,"4,689","2,781","4,400","5,300","3,756","3,526","3,187","2,812","2,094","2,071",0
"Salinas, CA","=""41500""","33,950","1,082","33,950","83,721,910","12,216","8,928,596","21,610","27,535,085","1,488","1,671",976,"32,493","135,319,020","1,357","1,381,927","23,067",0,"8,561","7,855","24,954",923,"16,798","14,945",0,"5,522","2,024","4,404","6,027","4,573","4,099","3,680","3,233","2,611","2,156",77
"Salisbury, MD-DE","=""41540""","34,839",396,"34,839","82,736,441","8,749","6,235,083","20,516","25,365,340","2,068","1,258",858,"33,752","140,265,773",792,"937,952","29,575",0,"13,995","18,569","13,981","1,983","16,250","15,233",0,"5,977","3,256","5,642","7,184","4,612","4,159","3,528","2,345","1,474","1,100",0
"Salt Lake City, UT","=""41620""","78,202","1,859","78,202","182,276,309","24,717","18,707,161","48,381","69,214,585","3,563","4,318","4,684","75,680","311,000,856","2,462","2,318,611","66,658",28,"24,586","37,010","38,629","2,317","41,621","30,376",0,"16,119","6,165","11,452","14,125","9,037","8,661","8,166","7,224","5,831","6,167",367
"San Angelo, TX","=""41660""","10,708",92,"10,708","26,152,668","3,129","2,403,048","6,631","8,701,036",659,354,434,"10,442","48,806,843",237,"232,190","9,396",53,"4,756","4,896","5,251",457,"5,138","4,623",0,"1,978",878,"1,567","2,047","1,382","1,257","1,028",866,657,590,0
"San Antonio-New Braunfels, TX","=""41700""","232,923","3,642","232,923","609,251,163","66,125","49,396,096","147,121","197,398,164","12,601","10,677","11,040","225,784","1,030,205,941","6,807","6,687,828","204,364","1,471","89,651","120,679","98,847","12,764","114,709","99,984",0,"54,102","17,763","34,285","47,820","32,176","26,747","24,745","20,270","14,441","11,944",207
"San Diego-Carlsbad, CA","=""41740""","243,530","7,199","243,530","557,010,011","65,518","48,970,503","135,313","174,917,069","9,645","10,805","11,451","228,685","897,550,440","14,199","12,538,576","188,032",0,"65,420","91,572","143,435","7,712","129,433","92,381",0,"62,373","22,084","39,905","49,536","29,741","24,679","22,450","20,346","15,780","13,937",420
"San Francisco-Oakland-Hayward, CA","=""41860""","233,398","9,529","233,398","463,925,288","53,742","41,549,532","107,445","132,635,824","8,488","10,797","9,090","211,115","736,903,726","21,679","19,806,418","152,293",65,"48,606","88,604","128,763","14,786","133,369","76,565",0,"70,520","26,661","45,215","51,190","26,097","19,891","18,562","17,100","13,509","10,239",32
"San Jose-Sunnyvale-Santa Clara, CA","=""41940""","93,478","4,167","93,478","190,773,001","24,790","19,238,065","45,119","55,604,704","3,297","4,462","3,112","85,817","313,269,230","7,286","6,840,256","62,776",0,"15,742","30,272","59,811","2,742","48,372","35,584",0,"23,627","9,822","16,613","19,122","10,326","8,928","8,310","7,574","5,897","4,436",0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","=""42020""","14,752",127,"14,752","28,790,193","4,013","3,144,060","7,204","8,913,667",621,522,616,"13,631","46,440,942",974,"1,099,693","10,749",0,"3,266","7,137","6,858",558,"7,666","5,359",0,"3,879","1,606","2,559","2,828","1,453","1,306","1,117","1,091",879,768,0
"Santa Cruz-Watsonville, CA","=""42100""","17,215",345,"17,215","35,885,038","4,785","3,471,234","8,872","10,934,667",755,631,639,"15,875","56,540,780","1,271","1,181,821","10,606",0,"3,771","6,227","10,310",511,"9,271","6,200",0,"4,014","1,768","2,883","3,485","2,125","1,745","1,503","1,254","1,030",855,34
"Santa Fe, NM","=""42140""","12,241",194,"12,241","26,609,466","3,717","2,801,203","6,651","8,147,936",470,463,512,"11,447","43,876,641",720,"582,509","9,689",21,"4,259","5,043","5,340","1,738","7,151","4,298",0,"3,048","1,442","1,898","2,272","1,314","1,251","1,240","1,036",721,494,0
"Santa Maria-Santa Barbara, CA","=""42200""","27,179",684,"27,179","61,434,397","8,452","6,411,955","15,566","20,102,220","1,166","1,051",924,"25,535","100,623,502","1,458","1,619,054","19,359",23,"5,410","9,688","16,183",989,"14,059","10,699",0,"5,501","2,237","4,020","4,924","3,142","2,952","2,674","2,361","1,845","1,682",42
"Santa Rosa, CA","=""42220""","25,375",561,"25,375","49,299,122","7,362","5,749,252","12,463","15,403,201","1,147",963,944,"23,388","82,549,913","1,819","1,963,261","17,559",0,"5,257","11,143","12,690","1,260","13,931","8,506",0,"6,448","2,734","4,255","4,814","2,427","2,323","2,220","2,069","1,657","1,403",0
"Savannah, GA","=""42340""","39,794",346,"39,794","103,823,375","9,201","6,397,279","25,221","32,394,912","3,040","2,373","1,800","38,784","170,484,264",929,"879,568","36,288",21,"18,966","22,242","15,174","2,187","20,220","16,736",0,"8,456","3,179","6,506","8,918","5,772","4,158","3,836","2,839","2,012","1,598",0
"Scranton--Wilkes-Barre--Hazleton, PA","=""42540""","47,440",584,"47,440","105,211,034","11,255","8,285,620","25,763","31,640,734","2,360","2,212","2,865","46,027","193,308,091","1,065","1,101,802","39,924",0,"17,472","22,288","24,290",394,"23,215","19,236",0,"8,032","5,907","8,288","9,774","5,726","4,603","4,134","3,357","2,384","1,781",0
"Seattle-Tacoma-Bellevue, WA","=""42660""","196,830","4,828","196,830","407,548,163","56,558","44,516,167","102,525","133,493,460","9,547","9,355","11,534","187,094","731,561,059","9,194","9,841,074","162,320",184,"54,012","110,710","75,474","9,475","89,843","84,212",0,"39,671","22,193","32,877","37,109","20,251","18,634","18,337","17,643","14,130","11,514",78
"Sebastian-Vero Beach, FL","=""42680""","12,438",186,"12,438","30,194,576","2,963","2,139,818","7,091","9,048,384",886,452,372,"11,891","49,422,748",495,"464,492","10,570",0,"4,272","6,084","6,019",208,"6,514","4,728",0,"3,296","1,172","2,054","2,699","1,743","1,363","1,024",842,625,545,0
"Sebring, FL","=""42700""","9,874",115,"9,874","26,523,680","2,162","1,455,340","6,156","8,032,770",592,299,342,"9,619","43,944,913",195,"197,405","8,537",0,"3,626","5,582","4,149",97,"4,354","4,665",0,"2,286",718,"1,617","2,254","1,674","1,085",795,663,375,343,0
"Sheboygan, WI","=""43100""","7,102",50,"7,102","14,399,086","2,066","1,716,510","3,745","4,920,505",271,272,433,"6,851","26,475,387",194,"198,235","5,886",0,"2,028","3,627","3,279",149,"3,299","3,083",0,"1,132",763,"1,148","1,273",671,552,506,496,487,487,0
"Sherman-Denison, TX","=""43300""","11,301",116,"11,301","28,435,366","3,257","2,438,388","7,045","9,175,674",581,263,339,"10,966","48,717,297",254,"289,202","9,900",0,"4,828","6,023","5,127",84,"5,208","5,101",0,"2,418",869,"1,722","2,181","1,450","1,182","1,135",905,686,550,0
"Shreveport-Bossier City, LA","=""43340""","54,309",780,"54,309","153,017,383","11,844","8,135,270","35,108","43,532,138","3,529","2,479","1,683","53,513","245,365,820",614,"679,949","49,890","1,153","30,478","24,692","28,120","1,055","27,508","23,555",0,"12,569","3,389","8,674","13,173","8,947","6,182","4,576","3,527","2,310","1,490",0
"Sierra Vista-Douglas, AZ","=""43420""","12,464",203,"12,464","33,714,072","3,040","2,230,149","8,055","11,061,034",328,361,465,"12,090","53,110,488",280,"240,428","10,681",0,"4,281","7,074","4,199","1,070","6,291","5,264",0,"2,539",866,"1,919","2,786","1,772","1,234",980,848,630,572,0
"Sioux City, IA-NE-SD","=""43580""","14,418",252,"14,418","34,897,140","4,534","3,520,796","8,940","12,029,320","1,005",401,717,"14,005","64,220,741",200,"393,222","12,628",0,"4,913","4,174","9,395",508,"7,556","5,723",0,"2,158","1,017","1,731","2,284","1,572","1,371","1,456","1,156",738,685,0
"Sioux Falls, SD","=""43620""","16,883",244,"16,883","36,566,442","5,437","4,391,075","10,022","13,328,901","1,978",838,"1,633","16,416","72,625,852",309,"495,990","14,671",119,"4,552","9,110","7,233",388,"6,917","8,294",0,"2,489","1,425","2,237","2,637","1,551","1,679","1,728","1,643","1,214",987,0
"South Bend-Mishawaka, IN-MI","=""43780""","28,880",379,"28,880","72,686,636","7,378","5,585,344","17,264","22,570,611","1,235","1,146","1,451","28,188","123,036,529",568,"546,954","25,738",0,"11,696","17,488","10,594",643,"13,316","13,051",0,"5,435","2,634","4,973","6,501","3,755","2,816","2,478","2,164","1,508","1,475",0
"Spartanburg, SC","=""43900""","34,427",318,"34,427","87,622,028","9,337","6,778,682","21,371","27,301,689","2,011","1,362","1,146","33,347","136,932,158",977,"949,751","29,866",215,"16,443","14,372","19,191",594,"18,993","13,039",0,"6,672","2,634","5,284","6,784","4,666","4,056","3,603","2,771","1,999","1,631",10
"Spokane-Spokane Valley, WA","=""44060""","41,326",400,"41,326","91,805,161","11,804","9,124,163","23,258","30,749,130","2,019","1,544","2,950","39,906","161,047,106","1,142","1,263,189","35,402",32,"12,986","25,467","14,475","1,002","17,282","19,577",0,"7,234","4,501","6,260","7,201","4,496","4,193","3,957","3,375","2,721","2,592",0
"Springfield, IL","=""44100""","17,448",200,"17,448","42,532,055","4,294","3,077,840","10,320","12,808,734","1,093",538,811,"17,031","72,176,725",245,"340,755","15,489",0,"7,339","9,422","7,349",442,"8,832","6,978",0,"3,073","1,623","2,876","3,764","2,248","1,693","1,363","1,117",728,466,0
"Springfield, MA","=""44140""","50,064","1,010","50,064","113,451,180","12,622","9,344,617","28,105","33,603,489","2,682","2,219","2,386","48,362","199,105,801","1,442","1,600,417","40,560",0,"18,494","25,456","22,267","1,882","23,974","21,663",0,"8,111","5,669","8,645","9,812","5,848","4,970","4,485","3,636","2,651","1,807",0
"Springfield, MO","=""44180""","38,738",284,"38,738","90,501,667","10,033","7,536,793","22,884","30,707,589","2,068","1,711","2,405","37,157","153,576,836","1,265","1,357,306","33,356",0,"14,552","19,233","18,574",679,"19,843","15,666",0,"9,114","3,597","6,174","7,571","4,827","3,855","3,404","2,946","2,298","2,316",0
"Springfield, OH","=""44220""","13,146",145,"13,146","32,393,289","3,379","2,521,788","7,940","10,293,680",406,416,526,"12,885","56,706,221",209,"230,327","11,643",186,"6,007","7,721","5,065",237,"5,970","5,871",0,"1,904","1,428","2,140","2,677","1,821","1,444","1,175",925,699,615,0
"St. Cloud, MN","=""41060""","13,214",307,"13,214","28,231,962","3,721","2,920,672","7,294","9,754,650","1,046",501,"1,178","12,589","49,452,711",449,"581,545","10,685",0,"2,910","5,132","7,051",784,"7,607","4,618",0,"2,976","1,558","2,024","2,353","1,302","1,179","1,202","1,085",674,794,0
"St. George, UT","=""41100""","10,566",51,"10,566","26,483,931","3,120","2,476,885","6,919","11,209,586",245,612,713,"10,185","43,676,958",291,"315,122","9,128",0,"3,000","5,209","4,714",518,"6,595","3,181",0,"2,960",744,"1,289","1,764","1,213","1,052",981,889,705,"1,090",55
"St. Joseph, MO-KS","=""41140""","10,950",145,"10,950","25,562,237","3,092","2,443,610","6,438","8,180,641",448,304,449,"10,610","45,964,393",221,"241,433","9,417",0,"4,176","5,731","4,629",301,"4,632","5,068",0,"1,417","1,035","1,617","1,909","1,248",960,810,826,633,442,0
"St. Louis, MO-IL","=""41180""","222,755","2,964","222,755","543,493,148","55,615","40,798,743","131,371","164,773,517","11,955","11,797","11,695","216,051","903,941,876","5,723","5,947,290","190,902",0,"89,268","121,453","94,063","5,833","111,241","93,459",0,"45,679","19,791","37,738","49,538","29,396","22,797","19,719","16,685","11,530","8,719",0
"State College, PA","=""44300""","6,292",24,"6,292","11,085,798","1,478","1,226,497","2,657","3,483,752",232,192,565,"5,961","21,346,254",168,"296,249","5,086",0,"1,497","3,403","2,367",246,"3,053","2,210",0,"1,208",733,"1,006","1,116",448,409,376,396,282,276,0
"Staunton-Waynesboro, VA","=""44420""","9,656",60,"9,656","20,632,231","2,850","2,181,323","5,307","6,539,283",385,228,293,"9,308","37,618,586",216,"297,444","8,499",23,"3,418","5,397","3,849",228,"4,714","3,943",0,"1,568",875,"1,578","1,847","1,071",910,759,732,577,486,0
"Stockton-Lodi, CA","=""44700""","65,309","1,894","65,309","166,126,987","19,190","14,420,162","41,448","53,991,230","2,152","2,600","2,313","62,806","265,392,612","2,332","2,798,943","50,787",23,"20,046","27,088","36,164","1,812","30,800","29,614",0,"12,902","4,841","10,256","12,855","8,799","7,131","6,453","5,485","4,418","3,888",82
"Sumter, SC","=""44940""","15,129",191,"15,129","41,343,606","3,463","2,348,868","9,644","12,110,659",899,827,488,"14,811","64,378,155",268,"253,254","13,819",31,"8,415","6,715","7,925",430,"8,690","5,622",0,"3,262","1,074","2,494","3,523","2,376","1,762","1,363","1,093",681,513,0
"Syracuse, NY","=""45060""","52,241",932,"52,241","119,093,948","13,125","9,826,953","29,510","36,390,140","2,462","1,894","3,576","50,526","205,083,855","1,282","1,439,325","44,138",0,"18,999","24,654","24,122","2,902","26,321","21,082",0,"9,199","5,390","9,415","10,590","5,946","5,086","4,403","3,835","2,590","1,887",0
"Tallahassee, FL","=""45220""","34,718",322,"34,718","87,821,009","7,777","5,464,648","20,467","26,043,985","2,800","2,151","1,634","33,849","147,530,820",771,"767,011","31,021",0,"16,171","17,763","16,166",569,"16,674","15,028",0,"8,163","2,703","5,955","7,960","5,040","3,673","3,147","2,704","1,686",962,0
"Tampa-St. Petersburg-Clearwater, FL","=""45300""","272,793","4,765","272,793","659,033,676","61,930","44,322,780","155,850","198,279,449","19,141","13,099","12,091","261,603","1,092,657,599","10,816","9,352,581","235,975",882,"97,687","146,116","120,177","5,232","146,870","102,158",0,"77,552","25,080","47,857","62,719","37,053","27,540","24,220","19,953","14,092","10,113",0
"Terre Haute, IN","=""45460""","15,297",96,"15,297","35,506,153","3,644","2,811,676","8,599","10,762,332",545,501,709,"14,964","63,232,226",241,"284,576","13,504",0,"6,567","5,698","9,250",28,"8,176","5,422",0,"2,243","1,563","2,560","3,214","1,603","1,291","1,067",998,744,688,0
"Texarkana, TX-AR","=""45500""","16,460",172,"16,460","43,925,015","4,356","3,225,434","10,589","13,024,808",566,395,231,"16,100","72,163,297",250,"310,104","14,826",85,"8,274","8,333","7,953",84,"7,209","7,892",0,"2,897","1,315","2,690","3,435","2,480","1,846","1,376","1,125",840,676,0
"The Villages, FL","=""45540""","5,373",0,"5,373","13,085,251","1,108","784,987","3,034","4,045,403",237,107,82,"5,182","21,836,858",145,"150,923","4,606",0,"2,154","2,833","2,370",103,"2,613","2,230",0,"1,340",478,910,"1,304",801,497,390,293,214,134,0
"Toledo, OH","=""45780""","52,087",768,"52,087","126,789,959","12,642","9,512,978","30,783","38,809,506","2,003","2,301","2,745","50,832","213,224,821","1,000","1,023,646","45,824",121,"21,479","30,853","20,025",914,"25,090","22,578",0,"8,697","5,216","9,281","11,569","6,793","5,072","4,079","3,651","2,593","2,006",0
"Topeka, KS","=""45820""","18,321",132,"18,321","42,543,162","5,350","4,089,525","10,894","14,464,903",821,633,801,"17,813","73,655,647",198,"411,899","15,309",0,"6,515","8,924","7,232","1,693","8,796","7,960",0,"2,551","1,624","2,702","3,254","1,885","1,700","1,470","1,213",871,771,0
