"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Bremerton-Silverdale, WA","=""14740""","14,591",120,"14,591","29,896,190","4,562","3,652,759","7,948","10,108,418",864,604,"1,050","14,082","56,970,568",418,"522,961","12,632",0,"4,389","10,213","3,702",520,"5,750","7,056",0,"2,240","1,569","2,245","2,509","1,387","1,373","1,355","1,285","1,074","1,122",0
"Bridgeport-Stamford-Norwalk, CT","=""14860""","49,665","1,110","49,665","108,761,196","12,106","8,832,784","26,467","32,041,745","3,074","2,766","2,288","46,072","186,036,156","3,459","3,765,830","39,244",0,"15,369","18,785","27,750","2,799","28,944","16,523",0,"14,326","5,312","8,777","10,336","5,847","4,794","4,525","4,002","2,822","1,856",0
"Brownsville-Harlingen, TX","=""15180""","65,706","1,613","65,706","206,579,874","14,483","9,840,549","45,950","63,328,288","2,255","2,498","1,930","64,096","316,230,666","1,523","1,375,949","58,837",67,"32,174","22,848","40,974","1,795","35,563","26,632",0,"18,874","3,436","9,691","16,641","11,719","7,944","5,822","4,146","2,983","2,602",104
"Brunswick, GA","=""15260""","12,050",102,"12,050","32,899,374","2,562","1,790,386","7,710","9,687,267",656,350,267,"11,781","51,447,110",198,"262,549","10,904",0,"6,534","6,286","5,465",191,"6,321","4,794",0,"2,793",926,"2,140","3,011","1,825","1,234","1,010",714,494,365,0
"Buffalo-Cheektowaga-Niagara Falls, NY","=""15380""","85,926","1,610","85,926","192,673,163","19,530","14,684,256","47,101","57,566,279","4,100","3,847","5,526","83,554","330,968,422","1,991","1,895,784","72,394",0,"32,685","35,279","44,515","5,723","46,137","31,817",0,"13,663","9,515","16,421","18,936","10,142","8,072","7,122","5,899","4,384","3,264",0
"Burlington, NC","=""15500""","16,113",294,"16,113","39,899,205","4,384","3,215,485","9,708","12,104,699","1,068",645,473,"15,702","65,471,563",370,"408,877","14,130",0,"7,615","8,030","7,609",403,"8,022","6,917",0,"3,142","1,229","2,613","3,495","2,249","1,717","1,657","1,288",986,717,0
"Burlington-South Burlington, VT","=""15540""","12,253",93,"12,253","23,127,928","3,247","2,591,998","5,715","6,974,533",660,401,986,"11,513","42,543,681",504,"668,158","9,238",0,"3,448","6,418","4,907",647,"5,647","5,053",0,"2,655","1,424","2,018","2,282","1,031",882,950,815,619,458,0
"California-Lexington Park, MD","=""15680""","6,224",32,"6,224","14,691,740","1,647","1,282,547","3,795","4,858,277",372,233,172,"6,025","25,307,772",108,"171,941","5,466",0,"2,682","3,263","2,770",35,"3,152","2,355",0,"1,224",486,920,"1,235",664,542,490,444,316,267,0
"Canton-Massillon, OH","=""15940""","33,307",287,"33,307","76,488,635","8,043","6,183,662","18,536","23,083,834","1,160","1,526","1,822","32,251","131,653,102",908,"879,618","28,685",0,"12,732","17,837","14,542",765,"17,375","12,972",0,"6,204","3,531","5,896","7,184","4,160","3,156","2,634","2,319","1,719","1,620",0
"Cape Coral-Fort Myers, FL","=""15980""","59,712","1,264","59,712","147,359,167","14,420","10,364,574","34,912","45,503,776","4,142","2,840","2,344","56,498","243,899,133","3,061","2,828,112","50,351",40,"19,006","29,297","29,161","1,051","32,635","22,345",0,"17,975","5,207","9,670","13,198","8,504","6,452","5,549","4,435","3,115","2,328",0
"Cape Girardeau, MO-IL","=""16020""","8,028",68,"8,028","19,627,296","1,956","1,465,375","4,847","6,171,135",363,271,348,"7,767","33,288,644",186,"210,967","6,890",0,"3,319","3,991","3,687",172,"3,882","3,404",0,"1,587",712,"1,195","1,539",950,720,561,456,358,335,0
"Carbondale-Marion, IL","=""16060""","11,028",151,"11,028","25,793,252","2,244","1,693,384","6,174","7,650,928",383,326,502,"10,701","43,286,150",232,"277,560","9,842",0,"4,867","5,910","4,908",69,"5,374","4,415",0,"2,068","1,173","1,994","2,451","1,386",868,631,508,401,355,0
"Carson City, NV","=""16180""","4,538",64,"4,538","9,888,099","1,487","1,128,584","2,567","3,159,988",234,175,164,"4,394","17,701,317",114,"102,154","3,755",0,"1,640","2,388","2,043",89,"1,922","2,127",0,626,419,725,800,543,489,472,423,288,250,0
"Casper, WY","=""16220""","5,293",21,"5,293","11,267,043","1,620","1,266,084","2,895","3,591,040",337,131,199,"5,169","20,870,909",102,"123,150","4,515",0,"2,106","2,867","2,125",235,"2,422","2,283",0,695,555,951,988,578,520,480,402,285,299,0
"Cedar Rapids, IA","=""16300""","16,507",194,"16,507","36,265,275","4,727","3,655,963","9,302","11,836,059","1,156",592,"1,214","15,965","65,782,184",385,"479,850","14,305",0,"5,963","7,913","7,038","1,181","8,516","6,494",0,"2,791","1,508","2,386","2,877","1,710","1,544","1,375","1,158",907,699,0
"Chambersburg-Waynesboro, PA","=""16540""","10,346",61,"10,346","22,886,202","3,196","2,554,476","5,947","7,825,150",548,383,549,"10,034","44,209,731",284,"277,172","8,890",0,"3,795","4,992","4,815",338,"5,270","4,122",0,"1,667","1,024","1,470","1,773","1,116","1,047","1,011",825,691,721,0
"Champaign-Urbana, IL","=""16580""","16,018",286,"16,018","37,950,463","3,780","2,853,046","9,133","11,767,708",828,593,808,"15,540","65,106,290",334,"408,325","14,304",0,"6,109","8,848","6,188",393,"8,013","6,086",0,"2,888","1,494","2,519","3,257","1,972","1,422","1,239",938,680,555,0
"Charleston, WV","=""16620""","20,230",49,"20,230","45,797,551","4,510","3,457,880","11,047","13,469,626",518,371,683,"19,844","80,095,981",156,"332,812","17,536",0,"9,183","11,608","7,379",437,"7,049","10,025",0,"2,177","1,970","3,377","3,917","2,230","1,710","1,301","1,091",769,641,0
"Charleston-North Charleston, SC","=""16700""","64,546",664,"64,546","158,455,830","16,387","11,755,733","38,825","48,148,992","4,370","3,550","3,357","62,415","252,970,462","1,915","1,914,420","56,670",65,"31,092","31,574","31,726",991,"34,435","25,301",0,"13,722","5,260","10,647","14,518","8,806","6,814","6,059","4,952","3,426","2,575",32
"Charlotte-Concord-Gastonia, NC-SC","=""16740""","212,181","3,772","212,181","536,266,178","52,595","37,940,536","129,041","165,064,120","14,371","11,298","8,516","204,848","855,182,373","6,997","7,096,438","185,474",618,"104,526","85,206","120,470","5,688","129,342","69,924",0,"55,178","16,277","34,231","47,128","29,935","22,653","20,213","17,047","12,260","9,362",46
"Charlottesville, VA","=""16820""","14,158",174,"14,158","30,777,765","3,759","2,830,935","7,497","9,477,817",622,449,514,"13,500","52,728,623",422,"569,398","12,072",0,"4,476","8,586","4,352",869,"6,934","5,673",0,"2,815","1,239","2,282","2,763","1,463","1,249","1,090",983,628,440,0
"Chattanooga, TN-GA","=""16860""","49,016",434,"49,016","118,245,880","12,093","8,974,754","28,859","35,991,662","2,290","1,834","1,838","47,319","196,992,024","1,443","1,507,286","43,164",174,"21,728","24,286","23,337","1,097","24,830","19,826",0,"10,792","4,617","8,640","10,634","6,393","4,938","4,162","3,547","2,668","2,338",0
